hospital_id,code,code_type,cdm_code,rev_code,description,gross_charge,discounted_cash,setting
san_ramon,,,5300725,637,AMOXICILLIN 500MG CP,98.0,73.5,both
san_ramon,,,5300712,250,AMOXICILLIN/CLAV 250MGTB,206.0,154.5,both
san_ramon,,,5300712,637,AMOXICILLIN/CLAV 250MGTB,206.0,154.5,both
san_ramon,,,5300715,250,AMOXICILLIN/CLAV 500MGTB,159.0,119.25,both
san_ramon,,,5300715,637,AMOXICILLIN/CLAV 500MGTB,159.0,119.25,both
san_ramon,,,5300713,250,AMOXICILLIN/CLAV 875MGTB,124.0,93.0,both
san_ramon,,,5300713,637,AMOXICILLIN/CLAV 875MGTB,124.0,93.0,both
san_ramon,,,5314257,250,AMOXICILLN 250/5 80ML LQ,70.0,52.5,both
san_ramon,,,5314257,637,AMOXICILLN 250/5 80ML LQ,70.0,52.5,both
san_ramon,,,5314254,250,AMOXICILN 250/5 100ML LQ,1220.0,915.0,both
san_ramon,,,5314254,637,AMOXICILN 250/5 100ML LQ,1220.0,915.0,both
san_ramon,,,5314256,250,AMOXICILN 250/5 150ML LQ,197.0,147.75,both
san_ramon,,,5314256,637,AMOXICILN 250/5 150ML LQ,197.0,147.75,both
san_ramon,80324,CPT,7250325,300,AMPHETAMINE QUAN 1-2,64.0,48.0,both
san_ramon,,,5318251,250,AMPHOT B LIPOS PER10MGIJ,504.0,378.0,both
san_ramon,,,5318251,636,AMPHOT B LIPOS PER10MGIJ,504.0,378.0,both
san_ramon,,,5318292,250,AMPICIL/SUL PER1.5GM IJ,491.0,368.25,both
san_ramon,,,5318292,636,AMPICIL/SUL PER1.5GM IJ,491.0,368.25,both
san_ramon,,,5318264,250,AMPICILLIN 250MG IJ,219.0,164.25,both
san_ramon,,,5318264,636,AMPICILLIN 250MG IJ,219.0,164.25,both
san_ramon,,,5318265,250,AMPICILLIN PER 500MG IJ,419.0,314.25,both
san_ramon,,,5318265,636,AMPICILLIN PER 500MG IJ,419.0,314.25,both
san_ramon,82150,CPT,4102150,300,AMYLASE,804.0,603.0,both
san_ramon,82150,CPT,4152150,300,AMYLASE,544.0,408.0,both
san_ramon,82150,CPT,7252150,300,AMYLASE,3.42,2.57,both
san_ramon,82150,CPT,4152151,300,AMYLASE/2,417.0,312.75,both
san_ramon,82150,CPT,7252664,300,AMYLASE/5,20.2,15.15,both
san_ramon,83520,CPT,7253585,300,AMYLOID BETA,80.0,60.0,both
san_ramon,80327,CPT,7252651,300,ANABOLIC STEROIDS 1-2,23.83,17.87,both
san_ramon,,,5300762,250,ANASTROZOLE 1MG TB,104.0,78.0,both
san_ramon,,,5300762,637,ANASTROZOLE 1MG TB,104.0,78.0,both
san_ramon,,,8170060,278,ANCH ARTHRO,2484.0,1863.0,both
san_ramon,,,4020598,278,ANCH BIO-SWIVELOCK,2379.0,1784.25,both
san_ramon,,,4020599,278,ANCH BONE W/ARTHRO DELY SYS,9020.0,6765.0,both
san_ramon,,,8240506,278,ANCH ENDOBUTTON CL BTB,2350.0,1762.5,both
san_ramon,,,4020700,278,ANCH SUT BIO-SUTURETAK,1912.0,1434.0,both
san_ramon,,,4010721,278,ANCH SUT FBRTAK W/SUTRTP,4573.0,3429.75,both
san_ramon,,,4010724,278,ANCH SUT KNOTLESS FIBERTAK,4064.0,3048.0,both
san_ramon,,,4010701,278,ANCH SUT SHORT SFT W/NDL,3618.0,2713.5,both
san_ramon,,,4010706,278,ANCH SUT SWVLK TENODESIS,12868.0,9651.0,both
san_ramon,,,8170090,278,ANCH SUTURE,242.0,181.5,both
san_ramon,,,8240006,278,ANCH/SCRW BN/BN TISS/BN2,823.0,617.25,both
san_ramon,,,8240007,278,ANCH/SCRW BN/BN TISS/BN3,1221.0,915.75,both
san_ramon,,,8240014,278,ANCH/SCRW BN/BN TISS/BN4,1621.0,1215.75,both
san_ramon,,,8240016,278,ANCH/SCRW BN/BN TISS/BN5,2012.0,1509.0,both
san_ramon,,,8240017,278,ANCH/SCRW BN/BN TISS/BN6,3172.0,2379.0,both
san_ramon,,,8240018,278,ANCH/SCRW BN/BN TISS/BN7,7397.0,5547.75,both
san_ramon,,,4020701,278,ANCHOR TENDON,5697.0,4272.75,both
san_ramon,82157,CPT,7252157,300,ANDROSTENEDIONE,10.0,7.5,both
san_ramon,,,3703561,370,ANESTHESIA EA ADD 15 MIN,1598.0,1198.5,both
san_ramon,,,3503561,370,ANESTHESIA EA ADD 15MIN,1591.0,1193.25,both
san_ramon,,,3503560,370,ANESTHESIA INIT 30 MIN,3537.0,2652.75,both
san_ramon,,,3703560,370,ANESTHESIA INIT 30 MIN,3983.0,2987.25,both
san_ramon,75733,CPT,4615734,320,ANGIO ADRENAL BILAT SEL,8506.0,6379.5,both
